partition,horizon,precision,recall,threshold
val_calib,10,0.06369426751592357,1.0,6.523454651872251e-13
val_calib,10,0.06373117033603708,1.0,6.682473177938364e-13
val_calib,10,0.06376811594202898,1.0,7.201818164534496e-13
val_calib,10,0.06380510440835267,1.0,7.203827354890709e-13
val_calib,10,0.06384213580963435,1.0,7.339037725430805e-13
val_calib,10,0.06387921022067364,1.0,7.569468837851518e-13
val_calib,10,0.06391632771644393,1.0,7.71664999040152e-13
val_calib,10,0.06395348837209303,1.0,8.337437503698296e-13
val_calib,10,0.06399069226294357,1.0,8.580374674838581e-13
val_calib,10,0.0640279394644936,1.0,9.197341793131648e-13
val_calib,10,0.064065230052417,1.0,1.2670411295605842e-12
val_calib,10,0.0641025641025641,1.0,1.3359407829235614e-12
val_calib,10,0.0641399416909621,1.0,1.3459581749684183e-12
val_calib,10,0.06417736289381563,1.0,1.446400312041489e-12
val_calib,10,0.0642148277875073,1.0,1.5455997096392765e-12
val_calib,10,0.06425233644859812,1.0,1.5526071231536969e-12
val_calib,10,0.06428988895382817,1.0,1.6054646173543086e-12
val_calib,10,0.06432748538011696,1.0,1.778033058400964e-12
val_calib,10,0.06436512580456408,1.0,1.7899049469745753e-12
val_calib,10,0.06440281030444965,1.0,1.851647245403632e-12
val_calib,10,0.06444053895723492,1.0,1.8705213014210227e-12
val_calib,10,0.06447831184056271,1.0,1.881914194147343e-12
val_calib,10,0.06451612903225806,1.0,1.887211207841567e-12
val_calib,10,0.06455399061032864,1.0,1.8911260399756033e-12
val_calib,10,0.06459189665296536,1.0,1.8934900859641828e-12
val_calib,10,0.06462984723854288,1.0,1.8944352741360178e-12
val_calib,10,0.06466784244562022,1.0,1.8954649222182535e-12
val_calib,10,0.06470588235294118,1.0,1.918888377358876e-12
val_calib,10,0.06474396703943497,1.0,1.9359061483168342e-12
val_calib,10,0.06478209658421673,1.0,1.9723503841075687e-12
val_calib,10,0.0648202710665881,1.0,2.034493260115943e-12
val_calib,10,0.06485849056603774,1.0,2.075107946402627e-12
val_calib,10,0.06489675516224189,1.0,2.0973195136807926e-12
val_calib,10,0.06493506493506493,1.0,2.2691112777409576e-12
val_calib,10,0.06497341996455995,1.0,2.3071794493755234e-12
val_calib,10,0.06501182033096926,1.0,2.3997867764660734e-12
val_calib,10,0.06505026611472502,1.0,2.4100342292436183e-12
val_calib,10,0.0650887573964497,1.0,2.4728742505198993e-12
val_calib,10,0.06512729425695678,1.0,2.476555803043125e-12
val_calib,10,0.06516587677725119,1.0,2.478692415715492e-12
val_calib,10,0.06520450503852994,1.0,2.487043271719037e-12
val_calib,10,0.06524317912218268,1.0,2.4957396095109164e-12
val_calib,10,0.06528189910979229,1.0,2.5739252084683057e-12
val_calib,10,0.06532066508313539,1.0,2.6067503014668034e-12
val_calib,10,0.06535947712418301,1.0,2.6566859191136957e-12
val_calib,10,0.06539833531510107,1.0,2.774393345762814e-12
val_calib,10,0.06543723973825104,1.0,2.784266486180803e-12
val_calib,10,0.06547619047619048,1.0,2.8026639931046256e-12
val_calib,10,0.06551518761167362,1.0,2.808960482456703e-12
val_calib,10,0.06555423122765197,1.0,2.8616756814763923e-12
val_calib,10,0.06559332140727489,1.0,2.8629134724039893e-12
val_calib,10,0.06563245823389022,1.0,2.8784842120783977e-12
val_calib,10,0.06567164179104477,1.0,2.8935690009253505e-12
val_calib,10,0.06571087216248507,1.0,2.9974448303877276e-12
