family,candidate_id,reference_type,cutoff,engine_id,n_segments,n_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,max_run_length,has_run_ge_2,has_run_ge_3,has_run_ge_5,has_run_ge_10
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,89,1,5,2,3,0,37,True,True,True,True
iforest,iforest_n200_ms_0p5,engine_balanced,0.99,91,1,9,0,9,0,45,True,True,True,True
lof,lof_k50,pooled,0.9,1,1,23,9,13,1,31,True,True,True,True
lof,lof_k50,pooled,0.9,5,1,28,18,10,0,95,True,True,True,True
lof,lof_k50,pooled,0.9,10,1,14,7,7,0,43,True,True,True,True
lof,lof_k50,pooled,0.9,11,1,15,5,10,0,73,True,True,True,True
lof,lof_k50,pooled,0.9,13,1,11,2,9,0,55,True,True,True,True
lof,lof_k50,pooled,0.9,16,1,24,13,11,0,82,True,True,True,True
lof,lof_k50,pooled,0.9,27,1,12,2,10,0,55,True,True,True,True
lof,lof_k50,pooled,0.9,31,1,19,7,12,0,39,True,True,True,True
lof,lof_k50,pooled,0.9,34,1,17,8,9,0,76,True,True,True,True
lof,lof_k50,pooled,0.9,40,1,17,7,10,0,75,True,True,True,True
lof,lof_k50,pooled,0.9,41,1,22,10,12,0,73,True,True,True,True
lof,lof_k50,pooled,0.9,45,1,19,4,15,0,56,True,True,True,True
lof,lof_k50,pooled,0.9,46,1,23,12,11,0,33,True,True,True,True
lof,lof_k50,pooled,0.9,54,1,17,10,7,0,85,True,True,True,True
lof,lof_k50,pooled,0.9,74,1,15,3,11,1,31,True,True,True,True
lof,lof_k50,pooled,0.9,77,1,15,3,12,0,35,True,True,True,True
lof,lof_k50,pooled,0.9,78,1,17,10,7,0,39,True,True,True,True
lof,lof_k50,pooled,0.9,81,1,24,11,13,0,57,True,True,True,True
lof,lof_k50,pooled,0.9,89,1,27,16,11,0,38,True,True,True,True
lof,lof_k50,pooled,0.9,91,1,16,1,15,0,45,True,True,True,True
lof,lof_k50,pooled,0.95,1,1,12,3,8,1,31,True,True,True,True
lof,lof_k50,pooled,0.95,5,1,18,9,9,0,95,True,True,True,True
lof,lof_k50,pooled,0.95,10,1,13,5,8,0,43,True,True,True,True
lof,lof_k50,pooled,0.95,11,1,11,2,9,0,60,True,True,True,True
lof,lof_k50,pooled,0.95,13,1,7,1,6,0,55,True,True,True,True
lof,lof_k50,pooled,0.95,16,1,17,7,10,0,64,True,True,True,True
lof,lof_k50,pooled,0.95,27,1,9,1,8,0,52,True,True,True,True
lof,lof_k50,pooled,0.95,31,1,12,5,7,0,37,True,True,True,True
lof,lof_k50,pooled,0.95,34,1,13,4,9,0,57,True,True,True,True
lof,lof_k50,pooled,0.95,40,1,14,2,12,0,65,True,True,True,True
lof,lof_k50,pooled,0.95,41,1,14,5,9,0,73,True,True,True,True
lof,lof_k50,pooled,0.95,45,1,14,2,12,0,43,True,True,True,True
lof,lof_k50,pooled,0.95,46,1,14,4,9,1,30,True,True,True,True
lof,lof_k50,pooled,0.95,54,1,13,4,9,0,78,True,True,True,True
lof,lof_k50,pooled,0.95,74,1,11,0,8,3,22,True,True,True,True
lof,lof_k50,pooled,0.95,77,1,13,1,11,1,31,True,True,True,True
lof,lof_k50,pooled,0.95,78,1,15,6,9,0,39,True,True,True,True
lof,lof_k50,pooled,0.95,81,1,18,5,13,0,52,True,True,True,True
lof,lof_k50,pooled,0.95,89,1,15,9,6,0,37,True,True,True,True
lof,lof_k50,pooled,0.95,91,1,11,1,10,0,45,True,True,True,True
lof,lof_k50,pooled,0.975,1,1,7,2,4,1,31,True,True,True,True
lof,lof_k50,pooled,0.975,5,1,14,4,10,0,90,True,True,True,True
lof,lof_k50,pooled,0.975,10,1,8,0,8,0,43,True,True,True,True
lof,lof_k50,pooled,0.975,11,1,7,2,5,0,60,True,True,True,True
lof,lof_k50,pooled,0.975,13,1,7,1,6,0,50,True,True,True,True
lof,lof_k50,pooled,0.975,16,1,19,6,13,0,54,True,True,True,True
lof,lof_k50,pooled,0.975,27,1,9,0,9,0,48,True,True,True,True
lof,lof_k50,pooled,0.975,31,1,10,5,5,0,37,True,True,True,True
lof,lof_k50,pooled,0.975,34,1,5,1,4,0,57,True,True,True,True
lof,lof_k50,pooled,0.975,40,1,12,1,11,0,65,True,True,True,True
lof,lof_k50,pooled,0.975,41,1,10,3,7,0,73,True,True,True,True
lof,lof_k50,pooled,0.975,45,1,18,0,18,0,33,True,True,True,True
lof,lof_k50,pooled,0.975,46,1,13,4,8,1,30,True,True,True,True
lof,lof_k50,pooled,0.975,54,1,12,2,10,0,73,True,True,True,True
lof,lof_k50,pooled,0.975,74,1,7,0,4,3,22,True,True,True,True
lof,lof_k50,pooled,0.975,77,1,14,1,11,2,28,True,True,True,True
lof,lof_k50,pooled,0.975,78,1,11,2,9,0,37,True,True,True,True
lof,lof_k50,pooled,0.975,81,1,15,2,13,0,38,True,True,True,True
lof,lof_k50,pooled,0.975,89,1,8,3,5,0,37,True,True,True,True
lof,lof_k50,pooled,0.975,91,1,10,1,9,0,45,True,True,True,True
lof,lof_k50,pooled,0.99,1,1,4,0,3,1,31,True,True,True,True
lof,lof_k50,pooled,0.99,5,1,9,0,9,0,90,True,True,True,True
lof,lof_k50,pooled,0.99,10,1,9,0,9,0,41,True,True,True,True
lof,lof_k50,pooled,0.99,11,1,6,2,4,0,60,True,True,True,True
lof,lof_k50,pooled,0.99,13,1,5,1,4,0,50,True,True,True,True
lof,lof_k50,pooled,0.99,16,1,16,3,13,0,47,True,True,True,True
lof,lof_k50,pooled,0.99,27,1,5,0,5,0,48,True,True,True,True
lof,lof_k50,pooled,0.99,31,1,5,1,4,0,32,True,True,True,True
lof,lof_k50,pooled,0.99,34,1,5,0,5,0,57,True,True,True,True
lof,lof_k50,pooled,0.99,40,1,10,0,10,0,49,True,True,True,True
lof,lof_k50,pooled,0.99,41,1,8,1,7,0,71,True,True,True,True
