replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
613,10,6,0.7766666666666666,0.0,0.0,0.0,0.7766666666666666,0.0,35.4,65.4,55.5,0.0
614,10,7,0.6799999999999999,0.0,0.0,0.0,0.6799999999999999,0.0,27.6,57.6,54.5,0.0
615,10,8,0.6733333333333332,0.0,0.0,0.0,0.6733333333333332,0.0,30.5,60.5,55.5,0.0
616,10,7,0.7366666666666667,0.0,0.0,0.0,0.7366666666666667,0.0,26.2,56.2,56.0,0.0
617,10,5,0.77,0.0,0.0,0.0,0.77,0.0,26.2,56.2,53.0,0.0
618,10,7,0.5633333333333334,0.0,0.0,0.0,0.5633333333333334,0.0,23.0,53.0,55.0,0.0
619,10,6,0.7566666666666666,0.0,0.0,0.0,0.7566666666666666,0.0,30.0,60.0,55.5,0.0
620,10,6,0.7266666666666668,0.0,0.0,0.0,0.7266666666666668,0.0,24.0,54.0,55.5,0.0
621,10,6,0.54,0.0,0.0,0.0,0.54,0.0,19.3,49.3,53.0,0.0
622,10,7,0.6933333333333332,0.0,0.0,0.0,0.6933333333333332,0.0,28.0,58.0,55.5,0.0
623,10,6,0.4866666666666667,0.0,0.0,0.0,0.4866666666666667,0.0,17.7,47.7,45.5,0.0
624,10,6,0.41,0.0,0.0,0.0,0.41,0.0,18.4,48.4,37.5,0.0
625,10,6,0.7500000000000002,0.0,0.0,0.0,0.7500000000000002,0.0,31.5,61.5,56.0,0.0
626,10,7,0.8566666666666667,0.0,0.0,0.0,0.8566666666666667,0.0,38.8,68.8,63.5,0.0
627,10,7,0.8633333333333333,0.0,0.0,0.0,0.8633333333333333,0.0,39.3,69.3,63.5,0.0
628,10,7,0.7333333333333334,0.0,0.0,0.0,0.7333333333333334,0.0,23.1,53.1,55.5,0.0
629,10,9,0.67,0.0,0.0,0.0,0.67,0.0,24.2,54.2,55.5,0.0
630,10,8,0.5533333333333333,0.0,0.0,0.0,0.5533333333333333,0.0,22.7,52.7,45.5,0.0
631,10,7,0.7866666666666667,0.0,0.0,0.0,0.7866666666666667,0.0,34.9,64.9,63.5,0.0
632,10,6,0.48666666666666664,0.0,0.0,0.0,0.48666666666666664,0.0,23.7,53.7,38.0,0.0
633,10,7,0.66,0.0,0.0,0.0,0.66,0.0,24.0,54.0,55.0,0.0
634,10,6,0.54,0.0,0.0,0.0,0.54,0.0,16.2,46.2,45.5,0.0
635,10,6,0.8966666666666667,0.0,0.0,0.0,0.8966666666666667,0.0,46.4,76.4,90.0,0.0
636,10,7,0.76,0.0,0.0,0.0,0.76,0.0,31.2,61.2,56.0,0.0
637,10,6,0.67,0.0,0.0,0.0,0.67,0.0,25.4,55.4,56.0,0.0
638,10,5,0.7,0.0,0.0,0.0,0.7,0.0,30.1,60.1,54.0,0.0
639,10,7,0.6366666666666667,0.0,0.0,0.0,0.6366666666666667,0.0,28.3,58.3,56.0,0.0
640,10,7,0.6366666666666667,0.0,0.0,0.0,0.6366666666666667,0.0,23.3,53.3,54.0,0.0
641,10,8,0.6566666666666666,0.0,0.0,0.0,0.6566666666666666,0.0,22.7,52.7,55.5,0.0
