horizon,draw,metric,value
10,89,precision,0.7730496453900709
10,89,recall,0.990909090909091
10,89,f1,0.8685258964143426
10,90,PR_AUC,0.9666913830021394
10,90,Brier,0.007872025353436587
10,90,precision,0.7032258064516129
10,90,recall,0.990909090909091
10,90,f1,0.8226415094339623
10,91,PR_AUC,0.9383230121908396
10,91,Brier,0.010718605845298374
10,91,precision,0.6395348837209303
10,91,recall,1.0
10,91,f1,0.7801418439716312
10,92,PR_AUC,0.9516399537376062
10,92,Brier,0.0117254037372502
10,92,precision,0.5989010989010989
10,92,recall,0.990909090909091
10,92,f1,0.7465753424657534
10,93,PR_AUC,0.9817003608271551
10,93,Brier,0.005957930893855873
10,93,precision,0.7096774193548387
10,93,recall,1.0
10,93,f1,0.8301886792452831
10,94,PR_AUC,0.9814664330421654
10,94,Brier,0.006964997248432184
10,94,precision,0.7218543046357616
10,94,recall,0.990909090909091
10,94,f1,0.8352490421455939
10,95,PR_AUC,0.9429209360076374
10,95,Brier,0.011482809663983495
10,95,precision,0.6835443037974683
10,95,recall,0.9818181818181818
10,95,f1,0.8059701492537313
10,96,PR_AUC,0.9812694064883285
10,96,Brier,0.006640157020026492
10,96,precision,0.7364864864864865
10,96,recall,0.990909090909091
10,96,f1,0.8449612403100775
10,97,PR_AUC,0.9614713585996781
10,97,Brier,0.008780768533842891
10,97,precision,0.7171052631578947
10,97,recall,0.990909090909091
10,97,f1,0.8320610687022901
10,98,PR_AUC,0.967153989537123
10,98,Brier,0.008731410691119088
10,98,precision,0.7012987012987013
10,98,recall,0.9818181818181818
10,98,f1,0.8181818181818182
10,99,PR_AUC,0.9705632653881922
10,99,Brier,0.007157168484669716
10,99,precision,0.6962025316455697
10,99,recall,1.0
10,99,f1,0.8208955223880597
10,100,PR_AUC,0.9739011976219993
10,100,Brier,0.007738995757692091
10,100,precision,0.7714285714285715
10,100,recall,0.9818181818181818
10,100,f1,0.864
10,101,PR_AUC,0.9746500989919167
10,101,Brier,0.008424406269460437
10,101,precision,0.6470588235294118
10,101,recall,1.0
10,101,f1,0.7857142857142857
10,102,PR_AUC,0.9642300881440926
10,102,Brier,0.00816479793902934
10,102,precision,0.7012987012987013
10,102,recall,0.9818181818181818
10,102,f1,0.8181818181818182
10,103,PR_AUC,0.966198201698288
10,103,Brier,0.00827701102121857
10,103,precision,0.7346938775510204
10,103,recall,0.9818181818181818
10,103,f1,0.8404669260700389
10,104,PR_AUC,0.9685422498260113
10,104,Brier,0.007705312940212004
10,104,precision,0.6285714285714286
10,104,recall,1.0
10,104,f1,0.7719298245614035
10,105,PR_AUC,0.9820088797341949
10,105,Brier,0.007680289521641505
10,105,precision,0.7841726618705036
10,105,recall,0.990909090909091
10,105,f1,0.8755020080321285
10,106,PR_AUC,0.9598667769728223
10,106,Brier,0.009182604916125875
10,106,precision,0.6835443037974683
10,106,recall,0.9818181818181818
10,106,f1,0.8059701492537313
10,107,PR_AUC,0.9743719387668911
10,107,Brier,0.007854476130541353
10,107,precision,0.7622377622377622
10,107,recall,0.990909090909091
10,107,f1,0.8616600790513834
10,108,PR_AUC,0.9793939402859809
10,108,Brier,0.007162801328935093
10,108,precision,0.7552447552447552
10,108,recall,0.9818181818181818
10,108,f1,0.8537549407114624
10,109,PR_AUC,0.9673305115217354
10,109,Brier,0.00957471287979124
10,109,precision,0.6707317073170732
10,109,recall,1.0
10,109,f1,0.8029197080291971
10,110,PR_AUC,0.9727557581838773
10,110,Brier,0.009470439187169026
10,110,precision,0.782608695652174
10,110,recall,0.9818181818181818
10,110,f1,0.8709677419354839
10,111,PR_AUC,0.9828400960052939
10,111,Brier,0.007526230711048473
10,111,precision,0.7971014492753623
10,111,recall,1.0
10,111,f1,0.8870967741935484
10,112,PR_AUC,0.9712663849961096
10,112,Brier,0.007943947630727295
10,112,precision,0.7032258064516129
10,112,recall,0.990909090909091
10,112,f1,0.8226415094339623
10,113,PR_AUC,0.9570520640589965
10,113,Brier,0.009494633087571076
10,113,precision,0.625
10,113,recall,1.0
10,113,f1,0.7692307692307693
10,114,PR_AUC,0.9568851288572761
10,114,Brier,0.009392410927043226
10,114,precision,0.7465753424657534
10,114,recall,0.990909090909091
10,114,f1,0.8515625
10,115,PR_AUC,0.9464813216570818
10,115,Brier,0.010465853658847557
10,115,precision,0.6832298136645962
10,115,recall,1.0
