horizon,model,representation,window,include_settings,class_weight,C,n_features,train_positive_rate,tune_positive_rate,tune_PR_AUC,tune_Brier,fit_time_seconds,inference_us_per_row
20,logistic,window,15.0,True,balanced,10.0,123,0.10133039222444337,0.10248901903367497,0.9657681024813463,0.02915203180112077,0.11039189999974042,0.3836093216814831
20,logistic,window,30.0,False,none,0.1,121,0.10133039222444337,0.10248901903367497,0.983082720321703,0.010646069645510679,0.20641021299888962,1.669449975745109
20,logistic,window,30.0,False,none,1.0,121,0.10133039222444337,0.10248901903367497,0.961621546278908,0.011461592053462063,0.3632772410001053,0.7083814057151708
20,logistic,window,30.0,False,none,10.0,121,0.10133039222444337,0.10248901903367497,0.9620220062516924,0.01168675338224114,0.717624506998618,0.30128135703786574
20,logistic,window,30.0,False,balanced,0.1,121,0.10133039222444337,0.10248901903367497,0.9568829587903818,0.08182769919066464,0.08321247699859669,0.7320815033627128
20,logistic,window,30.0,False,balanced,1.0,121,0.10133039222444337,0.10248901903367497,0.9667851624296672,0.041964200787887915,0.07959644899892737,0.48046461678868096
20,logistic,window,30.0,False,balanced,10.0,121,0.10133039222444337,0.10248901903367497,0.9788948516871149,0.026126356479557872,0.09429850800006534,1.0235678381587685
20,logistic,window,30.0,True,none,0.1,123,0.10133039222444337,0.10248901903367497,0.9830297291565929,0.01061799898468276,0.17103517800023837,0.6580795508001696
20,logistic,window,30.0,True,none,1.0,123,0.10133039222444337,0.10248901903367497,0.9619810056123758,0.011390140793207859,0.3723233529999561,0.29577720829021714
20,logistic,window,30.0,True,none,10.0,123,0.10133039222444337,0.10248901903367497,0.9621736446663318,0.011636957429192319,0.8012289710004552,0.3711708146940009
20,logistic,window,30.0,True,balanced,0.1,123,0.10133039222444337,0.10248901903367497,0.9568871150098222,0.08182524771839873,0.10492605099898356,0.3922942898823064
20,logistic,window,30.0,True,balanced,1.0,123,0.10133039222444337,0.10248901903367497,0.966739235036215,0.041954776752285095,0.11210564900102327,0.46548243066933
20,logistic,window,30.0,True,balanced,10.0,123,0.10133039222444337,0.10248901903367497,0.9787858997763514,0.02608552097532303,0.1080906799998047,0.3706312837054907
30,logistic,baseline,,False,none,0.1,15,0.1495829599503688,0.15129331381161543,0.966417288166186,0.023513774257097515,0.017483765999713796,0.1594184968518725
30,logistic,baseline,,False,none,1.0,15,0.1495829599503688,0.15129331381161543,0.9662606345003937,0.023473035768130195,0.020457054999496904,0.21739873082519964
30,logistic,baseline,,False,none,10.0,15,0.1495829599503688,0.15129331381161543,0.9662635532698768,0.023471552986773375,0.027905490000193822,0.24955002457639108
30,logistic,baseline,,False,balanced,0.1,15,0.1495829599503688,0.15129331381161543,0.9609424068834781,0.168305007081231,0.021693087001040112,0.16474158113941995
30,logistic,baseline,,False,balanced,1.0,15,0.1495829599503688,0.15129331381161543,0.9624039002474054,0.07060978969762426,0.10416425699986576,0.1836859443075655
30,logistic,baseline,,False,balanced,10.0,15,0.1495829599503688,0.15129331381161543,0.9642333291239537,0.043435304234657246,0.04914519100020698,0.1820883358571746
30,logistic,baseline,,True,none,0.1,17,0.1495829599503688,0.15129331381161543,0.9660853911461804,0.023642012434329895,0.018025886000032187,0.15693899457796426
30,logistic,baseline,,True,none,1.0,17,0.1495829599503688,0.15129331381161543,0.9659686394306272,0.023599781119260366,0.0202724760001729,0.1840129331755202
30,logistic,baseline,,True,none,10.0,17,0.1495829599503688,0.15129331381161543,0.9659397238486439,0.02359841756715711,0.02666557300108252,0.1728626160185342
30,logistic,baseline,,True,balanced,0.1,17,0.1495829599503688,0.15129331381161543,0.960871452051869,0.16830253663637595,0.02619252300064545,0.19219472931389797
30,logistic,baseline,,True,balanced,1.0,17,0.1495829599503688,0.15129331381161543,0.9623365464451173,0.0706064910426159,0.02605849099927582,0.18496998570590809
30,logistic,baseline,,True,balanced,10.0,17,0.1495829599503688,0.15129331381161543,0.9638744184778625,0.04350235349477451,0.02612531000158924,0.19329746212227802
