model,representation,cap,hparams,n_feat_in,n_feat_used,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE,diag_tune_PHM_mean_capped,diag_tune_MAE_capped
poly2,baseline,150,{'alpha': 1.0},15,135,21.67819358086614,18.201831971555862,23.600799913976715,0.344708521671102,9.111796494201585,15.423314619481612,17.827337091390984
poly2,baseline,150,{'alpha': 0.1},15,135,21.68049992369133,18.20195909858766,23.60108421811173,0.34469273379952636,9.112172797878147,15.42544958316809,17.82801416028917
gbr,window,150,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",121,121,25.35781794551986,16.459153174404168,22.299450444027908,0.4149817763462865,6.030739892749504,15.306812248665828,15.629647487680508
gbr,window,150,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",121,121,27.451094645663606,16.385946759006952,22.311744201364583,0.41433655375632217,6.240439385046922,16.623569459954002,15.652666384952319
rf,window,150,"{'n_estimators': 100, 'min_samples_leaf': 5}",121,121,32.640336512437734,15.778471819458279,22.65993702756976,0.39591441636067404,5.704137713878514,19.974831369173177,15.640218869088159
gbr,baseline,150,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",15,15,33.03112083387915,18.273834332053934,24.72210818172525,0.2809616082953805,6.515362038563562,20.090294132368207,17.043281400239685
gbr,baseline,150,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",15,15,33.64927250336155,18.18935081516164,24.655443395314744,0.2848342482122713,6.3941877413869745,20.435458049538752,16.943073267693663
rf,window,150,"{'n_estimators': 100, 'min_samples_leaf': 3}",121,121,34.011462486208515,15.750793639686771,22.64212813471938,0.39686356885994034,5.683986630708002,20.840337144769304,15.682295820155037
rf,baseline,150,"{'n_estimators': 100, 'min_samples_leaf': 5}",15,15,35.178446483688205,17.781158999147205,24.394839269623954,0.2998727258931918,6.503519363403535,21.605806739031056,16.995825024154893
rf,baseline,150,"{'n_estimators': 100, 'min_samples_leaf': 3}",15,15,35.345534051110675,17.767454694719955,24.387982446888163,0.30026624961208825,6.491644592502954,21.670625005813946,17.04866917656518
ridge,window,None,{'alpha': 10.0},121,121,83.6007389745515,25.259277060653215,31.51312810707378,-0.16832616834452163,11.54531092240473,1017.1348693821582,26.796037516072957
ridge,window,None,{'alpha': 1.0},121,121,84.36632725542229,25.27238841351052,31.517104649638313,-0.16862104176029735,11.626549915120377,1811.3127682007434,26.847256854874463
ridge,window,None,{'alpha': 0.1},121,121,84.47474682924528,25.26485875288643,31.51046162973322,-0.16812846131634074,11.64046963800171,2079.0446873828055,26.852341621560335
poly2,baseline,None,{'alpha': 10.0},15,135,112.59414396794845,23.21586615588615,30.734280987861826,-0.1112894445186412,9.702070423051067,109.03400843390388,26.6104658188137
poly2,baseline,None,{'alpha': 1.0},15,135,112.95493183064457,23.22665145029453,30.742203584437707,-0.11186244850237004,9.722957013845825,109.4998221164913,26.619774161910353
poly2,baseline,None,{'alpha': 0.1},15,135,112.99378881522962,23.227947429330875,30.74311950422116,-0.11192870217743933,9.725417429248251,109.55357690388743,26.6208888615888
ridge,baseline,None,{'alpha': 10.0},15,15,113.78622806796783,27.990912107601797,34.272910872313055,-0.3819204937194287,12.368941438741404,95.99208397629027,28.750005201733803
ridge,baseline,None,{'alpha': 1.0},15,15,113.81787095833924,27.989696439390485,34.272620663754374,-0.38189709077835676,12.367437435403144,96.01051370470022,28.749347082829015
ridge,baseline,None,{'alpha': 0.1},15,15,113.82105390529179,27.98957456824399,34.272591777429014,-0.3818947613438761,12.367286569418619,96.0123664125623,28.74928197995133
gbr,window,None,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",121,121,188.3840914749329,20.41319150895589,29.088782881247358,0.004520835867824369,6.8516867018750345,317.34220381675317,25.095743590155045
gbr,baseline,None,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",15,15,198.83001921819695,22.260765258391555,31.643398303615548,-0.17800547788383447,6.450677917337112,153.454112470698,26.51187807295896
rf,baseline,None,"{'n_estimators': 100, 'min_samples_leaf': 5}",15,15,265.6899601746718,21.602829931096718,31.540087942240124,-0.17032605576969528,6.447506817104548,214.51556651753714,26.501450568771265
rf,baseline,None,"{'n_estimators': 100, 'min_samples_leaf': 3}",15,15,288.356456814701,21.65976568680624,31.635442499321666,-0.17741320250339698,6.442483391861143,226.51881225266675,26.4939379480653
gbr,window,None,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",121,121,359.2996916071051,19.988860039746566,28.99049739565205,0.011236542061990318,6.266917647320247,2624.5236081055964,25.610677530940965
gbr,baseline,None,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",15,15,366.50774597391063,22.066926368266778,31.63530626847975,-0.17740306200060485,6.209913767604106,244.95425330019734,26.70714600437292
rf,window,None,"{'n_estimators': 100, 'min_samples_leaf': 3}",121,121,474.25874982094666,19.2404441627352,29.110299690926283,0.0030475904758321404,5.713675082892019,1090.4307615906318,25.029167119104528
rf,window,None,"{'n_estimators': 100, 'min_samples_leaf': 5}",121,121,602.7415813678621,19.323076902482136,29.312913767143744,-0.010878721788241563,5.688207160560592,1215.5373474145226,25.03396892569355
