bin_id,lo,hi,count,mean_pred,frac_pos,horizon,stage,absolute_calibration_gap
3,6.234807356903236e-08,2.0227446568255918e-07,202,1.154422543617866e-07,0.0,20,platt_monotone,1.154422543617866e-07
4,2.0227446568255918e-07,8.447935477518679e-07,203,4.6384976596139034e-07,0.0,20,platt_monotone,4.6384976596139034e-07
5,8.447935477518679e-07,5.3903254087375486e-06,203,2.378529572457522e-06,0.0,20,platt_monotone,2.378529572457522e-06
6,5.3903254087375486e-06,3.746784656590805e-05,202,1.587622397591801e-05,0.0,20,platt_monotone,1.587622397591801e-05
7,3.746784656590805e-05,0.0023024711562447345,202,0.0006201900193182638,0.0,20,platt_monotone,0.0006201900193182638
8,0.0023024711562447345,0.5946250189876952,203,0.14893484841061194,0.08866995073891626,20,platt_monotone,0.06026489767169568
9,0.5946250189876952,1.0,203,0.9409242819116906,0.9458128078817734,20,platt_monotone,0.004888525970082713
0,7.083572660961247e-21,2.069219993720832e-07,203,4.0662560320707066e-08,0.0,30,raw,4.0662560320707066e-08
1,2.069219993720832e-07,2.3337845099998936e-06,202,9.076493506924185e-07,0.0,30,raw,9.076493506924185e-07
2,2.3337845099998936e-06,1.3961491695835154e-05,203,7.543407205465708e-06,0.0,30,raw,7.543407205465708e-06
3,1.3961491695835154e-05,4.1110179945534145e-05,202,2.5925644308689243e-05,0.0,30,raw,2.5925644308689243e-05
4,4.1110179945534145e-05,0.00011604474103527049,203,7.28737294802708e-05,0.0,30,raw,7.28737294802708e-05
5,0.00011604474103527049,0.0003904965277975546,203,0.00021946551075692353,0.0,30,raw,0.00021946551075692353
6,0.0003904965277975546,0.003068209000414421,202,0.0011983993651938632,0.0,30,raw,0.0011983993651938632
7,0.003068209000414421,0.12531251384428968,202,0.03525470136785113,0.009900990099009901,30,raw,0.025353711268841228
8,0.12531251384428968,0.9718001110646644,203,0.6013623708567489,0.5270935960591133,30,raw,0.0742687747976356
9,0.9718001110646644,0.999999999999998,203,0.996287957791455,0.9901477832512315,30,raw,0.00614017454022342
0,2.5380628236631153e-18,1.0259257677616643e-06,203,2.2634700316975122e-07,0.0,30,platt,2.2634700316975122e-07
1,1.0259257677616643e-06,8.281416976737785e-06,202,3.5807188695159926e-06,0.0,30,platt,3.5807188695159926e-06
2,8.281416976737785e-06,3.8700597762059414e-05,203,2.246174734249433e-05,0.0,30,platt,2.246174734249433e-05
3,3.8700597762059414e-05,9.816849145779278e-05,202,6.561174243290497e-05,0.0,30,platt,6.561174243290497e-05
4,9.816849145779278e-05,0.00024010331220392263,203,0.00016006976777687863,0.0,30,platt,0.00016006976777687863
5,0.00024010331220392263,0.0006832004997664395,203,0.00041244230426333144,0.0,30,platt,0.00041244230426333144
6,0.0006832004997664395,0.00403426473323756,202,0.0017564989569192767,0.0,30,platt,0.0017564989569192767
7,0.00403426473323756,0.09988184256542353,202,0.03164669034814254,0.009900990099009901,30,platt,0.021745700249132638
8,0.09988184256542353,0.9260426551522367,203,0.5046838019857107,0.5270935960591133,30,platt,0.0224097940734026
9,0.9260426551522367,0.9999999999996332,203,0.9885065352358082,0.9901477832512315,30,platt,0.0016412480154233133
0,2.5380628236631153e-18,1.0259257677616643e-06,203,2.2634773001555363e-07,0.0,30,platt_monotone,2.2634773001555363e-07
1,1.0259257677616643e-06,8.407111876001965e-06,202,3.590584808785268e-06,0.0,30,platt_monotone,3.590584808785268e-06
2,8.407111876001965e-06,3.8700597762059414e-05,203,2.256026101605132e-05,0.0,30,platt_monotone,2.256026101605132e-05
3,3.8700597762059414e-05,9.849098375135745e-05,202,6.564947859307456e-05,0.0,30,platt_monotone,6.564947859307456e-05
4,9.849098375135745e-05,0.00024071555380157699,203,0.00016076910594663016,0.0,30,platt_monotone,0.00016076910594663016
5,0.00024071555380157699,0.0006849520949020228,203,0.0004146335257164579,0.0,30,platt_monotone,0.0004146335257164579
6,0.0006849520949020228,0.004152256501187055,202,0.0017732902604180223,0.0,30,platt_monotone,0.0017732902604180223
7,0.004152256501187055,0.10099949616699082,202,0.03212097275984439,0.009900990099009901,30,platt_monotone,0.02221998266083449
8,0.10099949616699082,0.9260426551522367,203,0.508482144906065,0.5270935960591133,30,platt_monotone,0.018611451153048297
9,0.9260426551522367,1.0,203,0.9891965314237068,0.9901477832512315,30,platt_monotone,0.0009512518275247572
