draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
791,10,7,0.7133333333333333,0.0,0.0,0.26666666666666666,0.44666666666666666,44.4,44.5,0.0
792,10,6,0.6133333333333333,0.0,0.0,0.26666666666666666,0.3466666666666667,38.8,44.5,0.0
793,10,5,0.6399999999999999,0.0,0.0,0.0,0.6399999999999999,51.8,48.0,0.0
794,10,6,0.6733333333333332,0.0,0.0,0.26666666666666666,0.4066666666666666,41.9,44.0,0.0
795,10,6,0.6133333333333333,0.0,0.0,0.26666666666666666,0.3466666666666667,40.1,39.0,0.0
796,10,5,0.5700000000000001,0.0,0.0,0.0,0.5700000000000001,51.0,45.0,0.0
797,10,5,0.7266666666666667,0.0,0.0,0.26666666666666666,0.45999999999999996,44.8,48.0,0.0
798,10,8,0.6033333333333333,0.0,0.0,0.13333333333333333,0.4699999999999999,45.9,43.0,0.0
799,10,8,0.5266666666666666,0.0,0.0,0.0,0.5266666666666666,48.4,46.0,0.0
800,10,8,0.45,0.0,0.0,0.13333333333333333,0.3166666666666667,38.7,40.5,0.0
801,10,7,0.5033333333333332,0.0,0.0,0.0,0.5033333333333332,46.4,47.0,0.0
802,10,6,0.65,0.0,0.0,0.26666666666666666,0.3833333333333333,41.2,44.0,0.0
803,10,9,0.4999999999999999,0.0,0.0,0.13333333333333333,0.36666666666666664,41.5,40.5,0.0
804,10,7,0.5933333333333334,0.0,0.0,0.26666666666666666,0.32666666666666666,38.2,39.5,0.0
805,10,4,0.5499999999999999,0.0,0.0,0.26666666666666666,0.2833333333333333,36.9,39.0,0.0
806,10,7,0.4066666666666666,0.0,0.0,0.0,0.4066666666666666,42.2,44.0,0.0
807,10,5,0.5466666666666666,0.0,0.0,0.0,0.5466666666666666,49.0,44.5,0.0
808,10,7,0.51,0.0,0.0,0.13333333333333333,0.37666666666666665,40.5,40.5,0.0
809,10,6,0.37,0.0,0.0,0.0,0.37,42.4,41.5,0.0
810,10,6,0.5833333333333333,0.0,0.0,0.13333333333333333,0.45,42.7,45.5,0.0
811,10,6,0.5466666666666666,0.0,0.0,0.13333333333333333,0.4133333333333333,41.6,45.0,0.0
812,10,6,0.4966666666666666,0.0,0.0,0.13333333333333333,0.3633333333333333,40.1,40.5,0.0
813,10,6,0.43999999999999995,0.0,0.0,0.13333333333333333,0.30666666666666664,38.4,39.0,0.0
814,10,7,0.65,0.0,0.0,0.13333333333333333,0.5166666666666666,47.3,46.0,0.0
815,10,7,0.6599999999999999,0.0,0.0,0.13333333333333333,0.5266666666666667,46.3,48.0,0.0
816,10,6,0.41,0.0,0.0,0.0,0.41,42.3,45.0,0.0
817,10,7,0.5999999999999999,0.0,0.0,0.13333333333333333,0.4666666666666666,45.8,43.0,0.0
818,10,6,0.43666666666666665,0.0,0.0,0.0,0.43666666666666665,43.1,45.5,0.0
819,10,6,0.45666666666666667,0.0,0.0,0.13333333333333333,0.32333333333333336,38.9,41.5,0.0
820,10,6,0.5533333333333333,0.0,0.0,0.13333333333333333,0.42000000000000004,41.8,44.5,0.0
821,10,6,0.7,0.0,0.0,0.26666666666666666,0.4333333333333333,44.0,41.5,0.0
822,10,5,0.3833333333333333,0.0,0.0,0.0,0.3833333333333333,41.5,42.0,0.0
823,10,6,0.5266666666666667,0.0,0.0,0.13333333333333333,0.3933333333333333,41.0,44.0,0.0
824,10,6,0.6233333333333333,0.0,0.0,0.26666666666666666,0.35666666666666663,39.1,43.0,0.0
825,10,8,0.5866666666666667,0.0,0.0,0.13333333333333333,0.4533333333333333,44.1,44.0,0.0
826,10,6,0.4766666666666667,0.0,0.0,0.0,0.4766666666666667,45.6,44.0,0.0
827,10,6,0.5199999999999999,0.0,0.0,0.0,0.5199999999999999,48.2,44.5,0.0
828,10,6,0.61,0.0,0.0,0.0,0.61,52.2,45.0,0.0
829,10,5,0.65,0.0,0.0,0.0,0.65,54.7,49.0,0.0
830,10,6,0.56,0.0,0.0,0.13333333333333333,0.42666666666666664,42.0,44.5,0.0
831,10,5,0.7033333333333334,0.0,0.0,0.13333333333333333,0.57,51.5,49.0,0.0
832,10,6,0.3866666666666666,0.0,0.0,0.0,0.3866666666666666,41.6,43.0,0.0
833,10,8,0.6166666666666666,0.0,0.0,0.13333333333333333,0.4833333333333334,46.3,44.5,0.0
834,10,5,0.4466666666666666,0.0,0.0,0.26666666666666666,0.18,33.8,34.5,0.0
835,10,6,0.5966666666666667,0.0,0.0,0.26666666666666666,0.32999999999999996,38.3,40.5,0.0
836,10,7,0.5399999999999999,0.0,0.0,0.13333333333333333,0.4066666666666666,41.4,43.5,0.0
837,10,6,0.8033333333333333,0.0,0.0,0.4,0.4033333333333333,41.0,44.5,0.0
838,10,8,0.5833333333333333,0.0,0.0,0.26666666666666666,0.3166666666666666,39.2,38.0,0.0
839,10,6,0.6933333333333334,0.0,0.0,0.26666666666666666,0.42666666666666664,42.5,43.0,0.0
840,10,6,0.5266666666666666,0.0,0.0,0.0,0.5266666666666666,49.7,42.0,0.0
841,10,8,0.49000000000000005,0.0,0.0,0.13333333333333333,0.3566666666666667,41.2,38.0,0.0
842,10,8,0.43,0.0,0.0,0.0,0.43,44.2,44.0,0.0
843,10,6,0.6633333333333333,0.0,0.0,0.13333333333333333,0.53,49.0,46.0,0.0
844,10,7,0.51,0.0,0.0,0.0,0.51,46.6,46.0,0.0
845,10,8,0.4866666666666665,0.0,0.0,0.13333333333333333,0.3533333333333333,39.8,42.0,0.0
846,10,6,0.5700000000000001,0.0,0.0,0.13333333333333333,0.4366666666666667,44.9,38.0,0.0
847,10,6,0.4666666666666666,0.0,0.0,0.0,0.4666666666666666,44.0,44.0,0.0
848,10,7,0.5266666666666666,0.0,0.0,0.13333333333333333,0.39333333333333337,41.0,43.0,0.0
849,10,8,0.5833333333333333,0.0,0.0,0.13333333333333333,0.45,44.0,43.5,0.0
850,10,7,0.4833333333333334,0.0,0.0,0.0,0.4833333333333334,45.8,46.0,0.0
851,10,7,0.7,0.0,0.0,0.26666666666666666,0.4333333333333334,44.0,43.0,0.0
852,10,7,0.5633333333333332,0.0,0.0,0.26666666666666666,0.2966666666666667,37.3,40.5,0.0
853,10,6,0.48,0.0,0.0,0.0,0.48,45.7,44.0,0.0
854,10,8,0.5733333333333333,0.0,0.0,0.13333333333333333,0.44000000000000006,43.7,43.0,0.0
855,10,7,0.54,0.0,0.0,0.13333333333333333,0.4066666666666666,42.7,42.0,0.0
856,10,7,0.7233333333333333,0.0,0.0,0.26666666666666666,0.45666666666666667,44.7,43.5,0.0
857,10,5,0.9400000000000001,0.0,0.0,0.7999999999999999,0.13999999999999999,29.4,22.0,0.0
858,10,6,0.5766666666666668,0.0,0.0,0.0,0.5766666666666668,51.2,45.5,0.0
859,10,6,0.5166666666666666,0.0,0.0,0.13333333333333333,0.3833333333333333,40.7,44.0,0.0
860,10,8,0.5466666666666666,0.0,0.0,0.13333333333333333,0.4133333333333333,42.9,43.5,0.0
861,10,8,0.5533333333333333,0.0,0.0,0.13333333333333333,0.42000000000000004,43.1,44.5,0.0
862,10,5,0.3933333333333333,0.0,0.0,0.0,0.3933333333333333,44.4,39.5,0.0
863,10,7,0.5666666666666667,0.0,0.0,0.13333333333333333,0.4333333333333333,43.5,42.0,0.0
864,10,6,0.5733333333333334,0.0,0.0,0.13333333333333333,0.44000000000000006,45.0,42.0,0.0
865,10,7,0.59,0.0,0.0,0.13333333333333333,0.45666666666666667,45.5,43.0,0.0
866,10,7,0.7466666666666667,0.0,0.0,0.26666666666666666,0.4800000000000001,45.4,43.5,0.0
867,10,7,0.6266666666666667,0.0,0.0,0.13333333333333333,0.49333333333333335,47.9,43.0,0.0
868,10,7,0.5066666666666666,0.0,0.0,0.0,0.5066666666666666,47.8,44.0,0.0
869,10,6,0.6166666666666666,0.0,0.0,0.26666666666666666,0.35,38.9,42.0,0.0
870,10,7,0.6466666666666667,0.0,0.0,0.13333333333333333,0.5133333333333333,47.2,44.0,0.0
871,10,8,0.4533333333333333,0.0,0.0,0.13333333333333333,0.31999999999999995,38.8,39.0,0.0
872,10,6,0.5933333333333333,0.0,0.0,0.4,0.1933333333333333,33.4,37.0,0.0
